2021-01-05 11:59:57,265 DEBUG   HandlerThread:31492 [handler.py:handle_request():55] handle_request: defer
2021-01-05 11:59:57,265 INFO    HandlerThread:31492 [handler.py:handle_request_defer():69] handle defer: 8
2021-01-05 11:59:57,265 DEBUG   SenderThread:31492 [sender.py:send():90] send: request
2021-01-05 11:59:57,265 DEBUG   SenderThread:31492 [sender.py:send_request():99] send_request: defer
2021-01-05 11:59:57,265 INFO    SenderThread:31492 [sender.py:send_request_defer():185] handle sender defer: 8
2021-01-05 11:59:59,197 DEBUG   HandlerThread:31492 [handler.py:handle_request():55] handle_request: poll_exit
2021-01-05 11:59:59,197 DEBUG   SenderThread:31492 [sender.py:send():90] send: request
2021-01-05 11:59:59,197 DEBUG   SenderThread:31492 [sender.py:send_request():99] send_request: poll_exit
2021-01-05 11:59:59,198 DEBUG   HandlerThread:31492 [handler.py:handle_request():55] handle_request: get_summary
2021-01-05 11:59:59,199 DEBUG   HandlerThread:31492 [handler.py:handle_request():55] handle_request: sampled_history
2021-01-05 11:59:59,200 DEBUG   HandlerThread:31492 [handler.py:handle_request():55] handle_request: shutdown
2021-01-05 11:59:59,200 INFO    HandlerThread:31492 [handler.py:finish():271] shutting down handler
2021-01-05 11:59:59,265 INFO    WriterThread:31492 [datastore.py:close():257] close: /home/vqc439/amnesic_probing/wandb/offline-run-20210105_115935-vcvp18wx/run-vcvp18wx.wandb
2021-01-05 12:00:00,198 INFO    SenderThread:31492 [sender.py:finish():642] shutting down sender
2021-01-05 12:00:00,198 INFO    MainThread:31492 [internal.py:handle_exit():138] Internal process exited
